[INFO] | 2026-09-17 11:26:37 AM | analyzer.BatchedBancorMarketMaker_fix | Generating return summary for arr
[INFO] | 2026-09-17 11:26:37 AM | analyzer.BatchedBancorMarketMaker_fix | Return summary generated for arr
[INFO] | 2026-09-17 11:26:37 AM | analyzer.BatchedBancorMarketMaker_fix | State variable assignement do not exist
[INFO] | 2026-09-17 11:26:37 AM | analyzer.BatchedBancorMarketMaker_fix | Processed function arr
[INFO] | 2026-09-17 11:26:37 AM | analyzer.BatchedBancorMarketMaker_fix | Generating return summary for arr
[INFO] | 2026-09-17 11:26:37 AM | analyzer.BatchedBancorMarketMaker_fix | Return summary generated for arr
[INFO] | 2026-09-17 11:26:37 AM | analyzer.BatchedBancorMarketMaker_fix | State variable assignement do not exist
[INFO] | 2026-09-17 11:26:37 AM | analyzer.BatchedBancorMarketMaker_fix | Processed function arr
[INFO] | 2026-09-17 11:26:37 AM | analyzer.BatchedBancorMarketMaker_fix | Generating return summary for arr
[INFO] | 2026-09-17 11:26:37 AM | analyzer.BatchedBancorMarketMaker_fix | Return summary generated for arr
[INFO] | 2026-09-17 11:26:37 AM | analyzer.BatchedBancorMarketMaker_fix | State variable assignement do not exist
[INFO] | 2026-09-17 11:26:37 AM | analyzer.BatchedBancorMarketMaker_fix | Processed function arr
[INFO] | 2026-09-17 11:26:37 AM | analyzer.BatchedBancorMarketMaker_fix | Generating return summary for arr
[INFO] | 2026-09-17 11:26:37 AM | analyzer.BatchedBancorMarketMaker_fix | Return summary generated for arr
[INFO] | 2026-09-17 11:26:37 AM | analyzer.BatchedBancorMarketMaker_fix | State variable assignement do not exist
[INFO] | 2026-09-17 11:26:37 AM | analyzer.BatchedBancorMarketMaker_fix | Processed function arr
[INFO] | 2026-09-17 11:26:37 AM | analyzer.BatchedBancorMarketMaker_fix | Generating return summary for arr
[INFO] | 2026-09-17 11:26:37 AM | analyzer.BatchedBancorMarketMaker_fix | Return summary generated for arr
[INFO] | 2026-09-17 11:26:37 AM | analyzer.BatchedBancorMarketMaker_fix | State variable assignement do not exist
[INFO] | 2026-09-17 11:26:37 AM | analyzer.BatchedBancorMarketMaker_fix | Processed function arr
[INFO] | 2026-09-17 11:26:37 AM | analyzer.BatchedBancorMarketMaker_fix | Generating return summary for decodeParamOp
[INFO] | 2026-09-17 11:26:37 AM | analyzer.BatchedBancorMarketMaker_fix | Return summary generated for decodeParamOp
[INFO] | 2026-09-17 11:26:37 AM | analyzer.BatchedBancorMarketMaker_fix | State variable assignement do not exist
[INFO] | 2026-09-17 11:26:37 AM | analyzer.BatchedBancorMarketMaker_fix | Processed function decodeParamOp
[INFO] | 2026-09-17 11:26:37 AM | analyzer.BatchedBancorMarketMaker_fix | Generating return summary for decodeParamId
[INFO] | 2026-09-17 11:26:37 AM | analyzer.BatchedBancorMarketMaker_fix | Return summary generated for decodeParamId
[INFO] | 2026-09-17 11:26:37 AM | analyzer.BatchedBancorMarketMaker_fix | State variable assignement do not exist
[INFO] | 2026-09-17 11:26:37 AM | analyzer.BatchedBancorMarketMaker_fix | Processed function decodeParamId
[INFO] | 2026-09-17 11:26:37 AM | analyzer.BatchedBancorMarketMaker_fix | Generating return summary for decodeParamsList
[WARNING] | 2026-09-17 11:26:37 AM | analyzer.BatchedBancorMarketMaker_fix | No lvalue eligible assignment, is this some bug!
[INFO] | 2026-09-17 11:26:37 AM | analyzer.BatchedBancorMarketMaker_fix | Return summary generated for decodeParamsList
[INFO] | 2026-09-17 11:26:37 AM | analyzer.BatchedBancorMarketMaker_fix | State variable assignement do not exist
[INFO] | 2026-09-17 11:26:37 AM | analyzer.BatchedBancorMarketMaker_fix | Processed function decodeParamsList
[INFO] | 2026-09-17 11:26:37 AM | analyzer.BatchedBancorMarketMaker_fix | Generating return summary for toUint64
[INFO] | 2026-09-17 11:26:37 AM | analyzer.BatchedBancorMarketMaker_fix | Return summary generated for toUint64
[INFO] | 2026-09-17 11:26:37 AM | analyzer.BatchedBancorMarketMaker_fix | State variable assignement do not exist
[INFO] | 2026-09-17 11:26:37 AM | analyzer.BatchedBancorMarketMaker_fix | Processed function toUint64
[INFO] | 2026-09-17 11:26:37 AM | analyzer.BatchedBancorMarketMaker_fix | Generating return summary for getBlockNumber
[INFO] | 2026-09-17 11:26:37 AM | analyzer.BatchedBancorMarketMaker_fix | Return summary generated for getBlockNumber
[INFO] | 2026-09-17 11:26:37 AM | analyzer.BatchedBancorMarketMaker_fix | State variable assignement do not exist
[INFO] | 2026-09-17 11:26:37 AM | analyzer.BatchedBancorMarketMaker_fix | Processed function getBlockNumber
[INFO] | 2026-09-17 11:26:37 AM | analyzer.BatchedBancorMarketMaker_fix | Generating return summary for getTimestamp
[INFO] | 2026-09-17 11:26:37 AM | analyzer.BatchedBancorMarketMaker_fix | Return summary generated for getTimestamp
[INFO] | 2026-09-17 11:26:37 AM | analyzer.BatchedBancorMarketMaker_fix | State variable assignement do not exist
[INFO] | 2026-09-17 11:26:37 AM | analyzer.BatchedBancorMarketMaker_fix | Processed function getTimestamp
[INFO] | 2026-09-17 11:26:37 AM | analyzer.BatchedBancorMarketMaker_fix | Generating return summary for getBlockNumber
[INFO] | 2026-09-17 11:26:37 AM | analyzer.BatchedBancorMarketMaker_fix | Return summary generated for getBlockNumber
[INFO] | 2026-09-17 11:26:37 AM | analyzer.BatchedBancorMarketMaker_fix | State variable assignement do not exist
[INFO] | 2026-09-17 11:26:37 AM | analyzer.BatchedBancorMarketMaker_fix | Processed function getBlockNumber
[INFO] | 2026-09-17 11:26:37 AM | analyzer.BatchedBancorMarketMaker_fix | Generating return summary for getTimestamp
[INFO] | 2026-09-17 11:26:37 AM | analyzer.BatchedBancorMarketMaker_fix | Return summary generated for getTimestamp
[INFO] | 2026-09-17 11:26:37 AM | analyzer.BatchedBancorMarketMaker_fix | State variable assignement do not exist
[INFO] | 2026-09-17 11:26:37 AM | analyzer.BatchedBancorMarketMaker_fix | Processed function getTimestamp
[INFO] | 2026-09-17 11:26:37 AM | analyzer.BatchedBancorMarketMaker_fix | Generating return summary for onlyInit
[INFO] | 2026-09-17 11:26:37 AM | analyzer.BatchedBancorMarketMaker_fix | Return summary generated for onlyInit
