[INFO] | 2026-09-17 11:36:58 AM | analyzer.Funds_fix | Return summary generated for SALEX
[INFO] | 2026-09-17 11:36:58 AM | analyzer.Funds_fix | State variable assignement do not exist
[INFO] | 2026-09-17 11:36:58 AM | analyzer.Funds_fix | Processed function SALEX
[INFO] | 2026-09-17 11:36:58 AM | analyzer.Funds_fix | Generating return summary for SETEX
[INFO] | 2026-09-17 11:36:58 AM | analyzer.Funds_fix | Return summary generated for SETEX
[INFO] | 2026-09-17 11:36:58 AM | analyzer.Funds_fix | State variable assignement do not exist
[INFO] | 2026-09-17 11:36:58 AM | analyzer.Funds_fix | Processed function SETEX
[INFO] | 2026-09-17 11:36:58 AM | analyzer.Funds_fix | Generating return summary for MINBI
[INFO] | 2026-09-17 11:36:58 AM | analyzer.Funds_fix | Return summary generated for MINBI
[INFO] | 2026-09-17 11:36:58 AM | analyzer.Funds_fix | State variable assignement do not exist
[INFO] | 2026-09-17 11:36:58 AM | analyzer.Funds_fix | Processed function MINBI
[INFO] | 2026-09-17 11:36:58 AM | analyzer.Funds_fix | Generating return summary for add
[INFO] | 2026-09-17 11:36:58 AM | analyzer.Funds_fix | Return summary generated for add
[INFO] | 2026-09-17 11:36:58 AM | analyzer.Funds_fix | State variable assignement do not exist
[INFO] | 2026-09-17 11:36:58 AM | analyzer.Funds_fix | Processed function add
[INFO] | 2026-09-17 11:36:58 AM | analyzer.Funds_fix | Generating return summary for sub
[INFO] | 2026-09-17 11:36:58 AM | analyzer.Funds_fix | Return summary generated for sub
[INFO] | 2026-09-17 11:36:58 AM | analyzer.Funds_fix | State variable assignement do not exist
[INFO] | 2026-09-17 11:36:58 AM | analyzer.Funds_fix | Processed function sub
[INFO] | 2026-09-17 11:36:58 AM | analyzer.Funds_fix | Generating return summary for mul
[INFO] | 2026-09-17 11:36:58 AM | analyzer.Funds_fix | Return summary generated for mul
[INFO] | 2026-09-17 11:36:58 AM | analyzer.Funds_fix | State variable assignement do not exist
[INFO] | 2026-09-17 11:36:58 AM | analyzer.Funds_fix | Processed function mul
[INFO] | 2026-09-17 11:36:58 AM | analyzer.Funds_fix | Generating return summary for div
[WARNING] | 2026-09-17 11:36:58 AM | analyzer.Funds_fix | No lvalue eligible assignment, is this some bug!
[INFO] | 2026-09-17 11:36:58 AM | analyzer.Funds_fix | Return summary generated for div
[INFO] | 2026-09-17 11:36:58 AM | analyzer.Funds_fix | State variable assignement do not exist
[INFO] | 2026-09-17 11:36:58 AM | analyzer.Funds_fix | Processed function div
[INFO] | 2026-09-17 11:36:58 AM | analyzer.Funds_fix | Generating return summary for min
[INFO] | 2026-09-17 11:36:58 AM | analyzer.Funds_fix | Return summary generated for min
[INFO] | 2026-09-17 11:36:58 AM | analyzer.Funds_fix | State variable assignement do not exist
[INFO] | 2026-09-17 11:36:58 AM | analyzer.Funds_fix | Processed function min
[INFO] | 2026-09-17 11:36:58 AM | analyzer.Funds_fix | Generating return summary for max
[INFO] | 2026-09-17 11:36:58 AM | analyzer.Funds_fix | Return summary generated for max
[INFO] | 2026-09-17 11:36:58 AM | analyzer.Funds_fix | State variable assignement do not exist
[INFO] | 2026-09-17 11:36:58 AM | analyzer.Funds_fix | Processed function max
[INFO] | 2026-09-17 11:36:58 AM | analyzer.Funds_fix | Generating return summary for imin
[INFO] | 2026-09-17 11:36:58 AM | analyzer.Funds_fix | Return summary generated for imin
[INFO] | 2026-09-17 11:36:58 AM | analyzer.Funds_fix | State variable assignement do not exist
[INFO] | 2026-09-17 11:36:58 AM | analyzer.Funds_fix | Processed function imin
[INFO] | 2026-09-17 11:36:58 AM | analyzer.Funds_fix | Generating return summary for imax
[INFO] | 2026-09-17 11:36:58 AM | analyzer.Funds_fix | Return summary generated for imax
[INFO] | 2026-09-17 11:36:58 AM | analyzer.Funds_fix | State variable assignement do not exist
[INFO] | 2026-09-17 11:36:58 AM | analyzer.Funds_fix | Processed function imax
[INFO] | 2026-09-17 11:36:58 AM | analyzer.Funds_fix | Generating return summary for bid
[INFO] | 2026-09-17 11:36:58 AM | analyzer.Funds_fix | Return summary generated for bid
[INFO] | 2026-09-17 11:36:58 AM | analyzer.Funds_fix | State variable assignement do not exist
