[INFO] | 2026-09-17 01:10:33 PM | analyzer.Loans  | State variable assignement do not exist
[INFO] | 2026-09-17 01:10:33 PM | analyzer.Loans  | Processed function BIEXT
[INFO] | 2026-09-17 01:10:33 PM | analyzer.Loans  | Generating return summary for SALEX
[INFO] | 2026-09-17 01:10:33 PM | analyzer.Loans  | Return summary generated for SALEX
[INFO] | 2026-09-17 01:10:33 PM | analyzer.Loans  | State variable assignement do not exist
[INFO] | 2026-09-17 01:10:33 PM | analyzer.Loans  | Processed function SALEX
[INFO] | 2026-09-17 01:10:33 PM | analyzer.Loans  | Generating return summary for SETEX
[INFO] | 2026-09-17 01:10:33 PM | analyzer.Loans  | Return summary generated for SETEX
[INFO] | 2026-09-17 01:10:33 PM | analyzer.Loans  | State variable assignement do not exist
[INFO] | 2026-09-17 01:10:33 PM | analyzer.Loans  | Processed function SETEX
[INFO] | 2026-09-17 01:10:33 PM | analyzer.Loans  | Generating return summary for MINBI
[INFO] | 2026-09-17 01:10:33 PM | analyzer.Loans  | Return summary generated for MINBI
[INFO] | 2026-09-17 01:10:33 PM | analyzer.Loans  | State variable assignement do not exist
[INFO] | 2026-09-17 01:10:33 PM | analyzer.Loans  | Processed function MINBI
[INFO] | 2026-09-17 01:10:33 PM | analyzer.Loans  | Generating return summary for add
[INFO] | 2026-09-17 01:10:33 PM | analyzer.Loans  | Return summary generated for add
[INFO] | 2026-09-17 01:10:33 PM | analyzer.Loans  | State variable assignement do not exist
[INFO] | 2026-09-17 01:10:33 PM | analyzer.Loans  | Processed function add
[INFO] | 2026-09-17 01:10:33 PM | analyzer.Loans  | Generating return summary for sub
[INFO] | 2026-09-17 01:10:33 PM | analyzer.Loans  | Return summary generated for sub
[INFO] | 2026-09-17 01:10:33 PM | analyzer.Loans  | State variable assignement do not exist
[INFO] | 2026-09-17 01:10:33 PM | analyzer.Loans  | Processed function sub
[INFO] | 2026-09-17 01:10:33 PM | analyzer.Loans  | Generating return summary for mul
[INFO] | 2026-09-17 01:10:33 PM | analyzer.Loans  | Return summary generated for mul
[INFO] | 2026-09-17 01:10:33 PM | analyzer.Loans  | State variable assignement do not exist
[INFO] | 2026-09-17 01:10:33 PM | analyzer.Loans  | Processed function mul
[INFO] | 2026-09-17 01:10:33 PM | analyzer.Loans  | Generating return summary for div
[WARNING] | 2026-09-17 01:10:33 PM | analyzer.Loans  | No lvalue eligible assignment, is this some bug!
[INFO] | 2026-09-17 01:10:33 PM | analyzer.Loans  | Return summary generated for div
[INFO] | 2026-09-17 01:10:33 PM | analyzer.Loans  | State variable assignement do not exist
[INFO] | 2026-09-17 01:10:33 PM | analyzer.Loans  | Processed function div
[INFO] | 2026-09-17 01:10:33 PM | analyzer.Loans  | Generating return summary for min
[INFO] | 2026-09-17 01:10:33 PM | analyzer.Loans  | Return summary generated for min
[INFO] | 2026-09-17 01:10:33 PM | analyzer.Loans  | State variable assignement do not exist
[INFO] | 2026-09-17 01:10:33 PM | analyzer.Loans  | Processed function min
[INFO] | 2026-09-17 01:10:33 PM | analyzer.Loans  | Generating return summary for max
[INFO] | 2026-09-17 01:10:33 PM | analyzer.Loans  | Return summary generated for max
[INFO] | 2026-09-17 01:10:33 PM | analyzer.Loans  | State variable assignement do not exist
[INFO] | 2026-09-17 01:10:33 PM | analyzer.Loans  | Processed function max
[INFO] | 2026-09-17 01:10:33 PM | analyzer.Loans  | Generating return summary for imin
[INFO] | 2026-09-17 01:10:33 PM | analyzer.Loans  | Return summary generated for imin
[INFO] | 2026-09-17 01:10:33 PM | analyzer.Loans  | State variable assignement do not exist
[INFO] | 2026-09-17 01:10:33 PM | analyzer.Loans  | Processed function imin
[INFO] | 2026-09-17 01:10:33 PM | analyzer.Loans  | Generating return summary for imax
[INFO] | 2026-09-17 01:10:33 PM | analyzer.Loans  | Return summary generated for imax
[INFO] | 2026-09-17 01:10:33 PM | analyzer.Loans  | State variable assignement do not exist
[INFO] | 2026-09-17 01:10:33 PM | analyzer.Loans  | Processed function imax
[INFO] | 2026-09-17 01:10:33 PM | analyzer.Loans  | Generating return summary for setLoans
[INFO] | 2026-09-17 01:10:33 PM | analyzer.Loans  | Return summary generated for setLoans
[INFO] | 2026-09-17 01:10:33 PM | analyzer.Loans  | Range graph generated
[INFO] | 2026-09-17 01:10:33 PM | analyzer.Loans  | Processed function setLoans
[INFO] | 2026-09-17 01:10:33 PM | analyzer.Loans  | Generating return summary for own
[INFO] | 2026-09-17 01:10:33 PM | analyzer.Loans  | Return summary generated for own
[INFO] | 2026-09-17 01:10:33 PM | analyzer.Loans  | State variable assignement do not exist
