[INFO] | 2026-09-17 12:50:03 PM | analyzer.GnosisSafeRegistry | State variable assignement do not exist
[INFO] | 2026-09-17 12:50:03 PM | analyzer.GnosisSafeRegistry | Processed function getTotalTheoreticalSupply
[INFO] | 2026-09-17 12:50:03 PM | analyzer.GnosisSafeRegistry | Generating return summary for mintForReportingParticipant
[INFO] | 2026-09-17 12:50:03 PM | analyzer.GnosisSafeRegistry | Return summary generated for mintForReportingParticipant
[INFO] | 2026-09-17 12:50:03 PM | analyzer.GnosisSafeRegistry | State variable assignement do not exist
[INFO] | 2026-09-17 12:50:03 PM | analyzer.GnosisSafeRegistry | Processed function mintForReportingParticipant
[INFO] | 2026-09-17 12:50:03 PM | analyzer.GnosisSafeRegistry | Generating return summary for noHooksTransfer
[INFO] | 2026-09-17 12:50:03 PM | analyzer.GnosisSafeRegistry | Return summary generated for noHooksTransfer
[INFO] | 2026-09-17 12:50:03 PM | analyzer.GnosisSafeRegistry | State variable assignement do not exist
[INFO] | 2026-09-17 12:50:03 PM | analyzer.GnosisSafeRegistry | Processed function noHooksTransfer
[INFO] | 2026-09-17 12:50:03 PM | analyzer.GnosisSafeRegistry | Generating return summary for totalSupply
[INFO] | 2026-09-17 12:50:03 PM | analyzer.GnosisSafeRegistry | Return summary generated for totalSupply
[INFO] | 2026-09-17 12:50:03 PM | analyzer.GnosisSafeRegistry | State variable assignement do not exist
[INFO] | 2026-09-17 12:50:03 PM | analyzer.GnosisSafeRegistry | Processed function totalSupply
[INFO] | 2026-09-17 12:50:03 PM | analyzer.GnosisSafeRegistry | Generating return summary for balanceOf
[INFO] | 2026-09-17 12:50:03 PM | analyzer.GnosisSafeRegistry | Return summary generated for balanceOf
[INFO] | 2026-09-17 12:50:03 PM | analyzer.GnosisSafeRegistry | State variable assignement do not exist
[INFO] | 2026-09-17 12:50:03 PM | analyzer.GnosisSafeRegistry | Processed function balanceOf
[INFO] | 2026-09-17 12:50:03 PM | analyzer.GnosisSafeRegistry | Generating return summary for transfer
[INFO] | 2026-09-17 12:50:03 PM | analyzer.GnosisSafeRegistry | Return summary generated for transfer
[INFO] | 2026-09-17 12:50:03 PM | analyzer.GnosisSafeRegistry | State variable assignement do not exist
[INFO] | 2026-09-17 12:50:03 PM | analyzer.GnosisSafeRegistry | Processed function transfer
[INFO] | 2026-09-17 12:50:03 PM | analyzer.GnosisSafeRegistry | Generating return summary for transferFrom
[INFO] | 2026-09-17 12:50:03 PM | analyzer.GnosisSafeRegistry | Return summary generated for transferFrom
[INFO] | 2026-09-17 12:50:03 PM | analyzer.GnosisSafeRegistry | State variable assignement do not exist
[INFO] | 2026-09-17 12:50:03 PM | analyzer.GnosisSafeRegistry | Processed function transferFrom
[INFO] | 2026-09-17 12:50:03 PM | analyzer.GnosisSafeRegistry | Generating return summary for approve
[INFO] | 2026-09-17 12:50:03 PM | analyzer.GnosisSafeRegistry | Return summary generated for approve
[INFO] | 2026-09-17 12:50:03 PM | analyzer.GnosisSafeRegistry | State variable assignement do not exist
[INFO] | 2026-09-17 12:50:03 PM | analyzer.GnosisSafeRegistry | Processed function approve
[INFO] | 2026-09-17 12:50:03 PM | analyzer.GnosisSafeRegistry | Generating return summary for allowance
[INFO] | 2026-09-17 12:50:03 PM | analyzer.GnosisSafeRegistry | Return summary generated for allowance
[INFO] | 2026-09-17 12:50:03 PM | analyzer.GnosisSafeRegistry | State variable assignement do not exist
[INFO] | 2026-09-17 12:50:03 PM | analyzer.GnosisSafeRegistry | Processed function allowance
[INFO] | 2026-09-17 12:50:03 PM | analyzer.GnosisSafeRegistry | Generating return summary for migrateOutByPayout
[INFO] | 2026-09-17 12:50:03 PM | analyzer.GnosisSafeRegistry | Return summary generated for migrateOutByPayout
[INFO] | 2026-09-17 12:50:03 PM | analyzer.GnosisSafeRegistry | State variable assignement do not exist
[INFO] | 2026-09-17 12:50:03 PM | analyzer.GnosisSafeRegistry | Processed function migrateOutByPayout
[INFO] | 2026-09-17 12:50:03 PM | analyzer.GnosisSafeRegistry | Generating return summary for migrateIn
[INFO] | 2026-09-17 12:50:03 PM | analyzer.GnosisSafeRegistry | Return summary generated for migrateIn
[INFO] | 2026-09-17 12:50:03 PM | analyzer.GnosisSafeRegistry | State variable assignement do not exist
[INFO] | 2026-09-17 12:50:03 PM | analyzer.GnosisSafeRegistry | Processed function migrateIn
[INFO] | 2026-09-17 12:50:03 PM | analyzer.GnosisSafeRegistry | Generating return summary for trustedReportingParticipantTransfer
[INFO] | 2026-09-17 12:50:03 PM | analyzer.GnosisSafeRegistry | Return summary generated for trustedReportingParticipantTransfer
[INFO] | 2026-09-17 12:50:03 PM | analyzer.GnosisSafeRegistry | State variable assignement do not exist
[INFO] | 2026-09-17 12:50:03 PM | analyzer.GnosisSafeRegistry | Processed function trustedReportingParticipantTransfer
[INFO] | 2026-09-17 12:50:03 PM | analyzer.GnosisSafeRegistry | Generating return summary for trustedMarketTransfer
[INFO] | 2026-09-17 12:50:03 PM | analyzer.GnosisSafeRegistry | Return summary generated for trustedMarketTransfer
[INFO] | 2026-09-17 12:50:03 PM | analyzer.GnosisSafeRegistry | State variable assignement do not exist
[INFO] | 2026-09-17 12:50:03 PM | analyzer.GnosisSafeRegistry | Processed function trustedMarketTransfer
[INFO] | 2026-09-17 12:50:03 PM | analyzer.GnosisSafeRegistry | Generating return summary for trustedUniverseTransfer
[INFO] | 2026-09-17 12:50:03 PM | analyzer.GnosisSafeRegistry | Return summary generated for trustedUniverseTransfer
[INFO] | 2026-09-17 12:50:03 PM | analyzer.GnosisSafeRegistry | State variable assignement do not exist
[INFO] | 2026-09-17 12:50:03 PM | analyzer.GnosisSafeRegistry | Processed function trustedUniverseTransfer
[INFO] | 2026-09-17 12:50:03 PM | analyzer.GnosisSafeRegistry | Generating return summary for trustedDisputeWindowTransfer
[INFO] | 2026-09-17 12:50:03 PM | analyzer.GnosisSafeRegistry | Return summary generated for trustedDisputeWindowTransfer
[INFO] | 2026-09-17 12:50:03 PM | analyzer.GnosisSafeRegistry | State variable assignement do not exist
[INFO] | 2026-09-17 12:50:03 PM | analyzer.GnosisSafeRegistry | Processed function trustedDisputeWindowTransfer
[INFO] | 2026-09-17 12:50:03 PM | analyzer.GnosisSafeRegistry | Generating return summary for getUniverse
[INFO] | 2026-09-17 12:50:03 PM | analyzer.GnosisSafeRegistry | Return summary generated for getUniverse
[INFO] | 2026-09-17 12:50:03 PM | analyzer.GnosisSafeRegistry | State variable assignement do not exist
[INFO] | 2026-09-17 12:50:03 PM | analyzer.GnosisSafeRegistry | Processed function getUniverse
[INFO] | 2026-09-17 12:50:03 PM | analyzer.GnosisSafeRegistry | Generating return summary for getTotalMigrated
[INFO] | 2026-09-17 12:50:03 PM | analyzer.GnosisSafeRegistry | Return summary generated for getTotalMigrated
[INFO] | 2026-09-17 12:50:03 PM | analyzer.GnosisSafeRegistry | State variable assignement do not exist
[INFO] | 2026-09-17 12:50:03 PM | analyzer.GnosisSafeRegistry | Processed function getTotalMigrated
[INFO] | 2026-09-17 12:50:03 PM | analyzer.GnosisSafeRegistry | Generating return summary for getTotalTheoreticalSupply
[INFO] | 2026-09-17 12:50:03 PM | analyzer.GnosisSafeRegistry | Return summary generated for getTotalTheoreticalSupply
[INFO] | 2026-09-17 12:50:03 PM | analyzer.GnosisSafeRegistry | State variable assignement do not exist
[INFO] | 2026-09-17 12:50:03 PM | analyzer.GnosisSafeRegistry | Processed function getTotalTheoreticalSupply
[INFO] | 2026-09-17 12:50:03 PM | analyzer.GnosisSafeRegistry | Generating return summary for mintForReportingParticipant
[INFO] | 2026-09-17 12:50:03 PM | analyzer.GnosisSafeRegistry | Return summary generated for mintForReportingParticipant
[INFO] | 2026-09-17 12:50:03 PM | analyzer.GnosisSafeRegistry | State variable assignement do not exist
[INFO] | 2026-09-17 12:50:03 PM | analyzer.GnosisSafeRegistry | Processed function mintForReportingParticipant
[INFO] | 2026-09-17 12:50:03 PM | analyzer.GnosisSafeRegistry | Generating return summary for burnForMarket
[INFO] | 2026-09-17 12:50:03 PM | analyzer.GnosisSafeRegistry | Return summary generated for burnForMarket
[INFO] | 2026-09-17 12:50:03 PM | analyzer.GnosisSafeRegistry | State variable assignement do not exist
[INFO] | 2026-09-17 12:50:03 PM | analyzer.GnosisSafeRegistry | Processed function burnForMarket
[INFO] | 2026-09-17 12:50:03 PM | analyzer.GnosisSafeRegistry | Generating return summary for mintForWarpSync
[INFO] | 2026-09-17 12:50:03 PM | analyzer.GnosisSafeRegistry | Return summary generated for mintForWarpSync
[INFO] | 2026-09-17 12:50:03 PM | analyzer.GnosisSafeRegistry | State variable assignement do not exist
[INFO] | 2026-09-17 12:50:03 PM | analyzer.GnosisSafeRegistry | Processed function mintForWarpSync
[INFO] | 2026-09-17 12:50:03 PM | analyzer.GnosisSafeRegistry | Generating return summary for getOwner
[INFO] | 2026-09-17 12:50:03 PM | analyzer.GnosisSafeRegistry | Return summary generated for getOwner
[INFO] | 2026-09-17 12:50:03 PM | analyzer.GnosisSafeRegistry | State variable assignement do not exist
[INFO] | 2026-09-17 12:50:03 PM | analyzer.GnosisSafeRegistry | Processed function getOwner
[INFO] | 2026-09-17 12:50:03 PM | analyzer.GnosisSafeRegistry | Generating return summary for transferOwnership
[INFO] | 2026-09-17 12:50:03 PM | analyzer.GnosisSafeRegistry | Return summary generated for transferOwnership
[INFO] | 2026-09-17 12:50:03 PM | analyzer.GnosisSafeRegistry | State variable assignement do not exist
[INFO] | 2026-09-17 12:50:03 PM | analyzer.GnosisSafeRegistry | Processed function transferOwnership
[INFO] | 2026-09-17 12:50:03 PM | analyzer.GnosisSafeRegistry | Generating return summary for totalSupply
[INFO] | 2026-09-17 12:50:03 PM | analyzer.GnosisSafeRegistry | Return summary generated for totalSupply
[INFO] | 2026-09-17 12:50:03 PM | analyzer.GnosisSafeRegistry | State variable assignement do not exist
[INFO] | 2026-09-17 12:50:03 PM | analyzer.GnosisSafeRegistry | Processed function totalSupply
[INFO] | 2026-09-17 12:50:03 PM | analyzer.GnosisSafeRegistry | Generating return summary for balanceOf
[INFO] | 2026-09-17 12:50:03 PM | analyzer.GnosisSafeRegistry | Return summary generated for balanceOf
[INFO] | 2026-09-17 12:50:03 PM | analyzer.GnosisSafeRegistry | State variable assignement do not exist
[INFO] | 2026-09-17 12:50:03 PM | analyzer.GnosisSafeRegistry | Processed function balanceOf
[INFO] | 2026-09-17 12:50:03 PM | analyzer.GnosisSafeRegistry | Generating return summary for transfer
[INFO] | 2026-09-17 12:50:03 PM | analyzer.GnosisSafeRegistry | Return summary generated for transfer
[INFO] | 2026-09-17 12:50:03 PM | analyzer.GnosisSafeRegistry | State variable assignement do not exist
[INFO] | 2026-09-17 12:50:03 PM | analyzer.GnosisSafeRegistry | Processed function transfer
[INFO] | 2026-09-17 12:50:03 PM | analyzer.GnosisSafeRegistry | Generating return summary for transferFrom
[INFO] | 2026-09-17 12:50:03 PM | analyzer.GnosisSafeRegistry | Return summary generated for transferFrom
[INFO] | 2026-09-17 12:50:03 PM | analyzer.GnosisSafeRegistry | State variable assignement do not exist
[INFO] | 2026-09-17 12:50:03 PM | analyzer.GnosisSafeRegistry | Processed function transferFrom
[INFO] | 2026-09-17 12:50:03 PM | analyzer.GnosisSafeRegistry | Generating return summary for approve
[INFO] | 2026-09-17 12:50:03 PM | analyzer.GnosisSafeRegistry | Return summary generated for approve
[INFO] | 2026-09-17 12:50:03 PM | analyzer.GnosisSafeRegistry | State variable assignement do not exist
[INFO] | 2026-09-17 12:50:03 PM | analyzer.GnosisSafeRegistry | Processed function approve
[INFO] | 2026-09-17 12:50:03 PM | analyzer.GnosisSafeRegistry | Generating return summary for allowance
[INFO] | 2026-09-17 12:50:03 PM | analyzer.GnosisSafeRegistry | Return summary generated for allowance
[INFO] | 2026-09-17 12:50:03 PM | analyzer.GnosisSafeRegistry | State variable assignement do not exist
[INFO] | 2026-09-17 12:50:03 PM | analyzer.GnosisSafeRegistry | Processed function allowance
[INFO] | 2026-09-17 12:50:03 PM | analyzer.GnosisSafeRegistry | Generating return summary for joinMint
[INFO] | 2026-09-17 12:50:03 PM | analyzer.GnosisSafeRegistry | Return summary generated for joinMint
[INFO] | 2026-09-17 12:50:03 PM | analyzer.GnosisSafeRegistry | State variable assignement do not exist
